name,description,latitude,longitude,difficulty_id,distance_from_nearest_city,rating,created_at,updated_at
Гора Сарахтаг,"Гора Сарахтаг (высота - 800 м) является потухшим вулканом, представляющим интерес для науки и туристов. Сарахтаг - один из трех побочных вулканов, находившихся на склонах более крупного и древнего.
В эру палеозоя 400 миллионов лет назад вулкан выбрасывал огромные вулканические бомбы, извергал потоки лавы, тучи пепла, обильно поливал окрестности кислотными дождями. Скорее всего, извержения еще были и гораздо позже, потому магма нашла еще пару мест, где можно выбраться из недр Земли. Время методично сгладило следы этих процессов. Миллионы лет своеобразная пробка выжималась из земли после взрывных извержений, чтобы ""залечить"" пострадавшее жерло вулкана, образовав его экструзивный купол.
Четырехкилометровая долина горы является жерлом некогда грозного вулкана, небольшие реки Большой Сыр и Средний Сыр протекают как раз по границам гигантского кратера Сарахтага, края которого сейчас воспринимаются как просто цепочка небольших гор.
Несколько деревень: Бирикчуль, Верхняя База, Майский, Казановка расположены у подножия горы Сарахтаг, и мало кто задумывается, что толстый слой поросшей травой почвы таит под собой потоки застывшей лавы.
Сарахтаг признан уникальным природным памятником на территории Хакасии.",53.333664,90.440795,2,2,4.2,2023-08-11,2023-08-11
Озеро Маранкуль,"Озеро Маранкуль находится в Таштыпском районе Республики Хакасия. Оно расположено на абсолютной высоте 1600 метров над уровнем моря в высокогорье Западного Саяна, на вершине хребта, отделяющего Хакасию от Тувы.
Озеро имеет яйцевидную форму с заострением в северной части. Длина и ширина озера различаются незначительно и составляют 1100 и 900 метров. Дно озера представлено обломками скал, щебнем с редкими песчаными прослойками, лишь в центральной части покрыто минеральными илами. Вода в озере кристально прозрачная, холодная, даже в самые жаркие годы ее температура не превышает 16 градусов.
Озеро окружают величественные горные вершины с каменными россыпями и гольцами, которые имеют неповторимую мозаичную текстуру. На многие километры вокруг простирается вековая тайга. Преобладают кедры и пихты. На открытых каменистых участках встречаются карликовые березки, усиливающие суровую красоту здешних мест. В водах озера водится деликатесная рыба - хариус, пелядь. В окрестностях озера произрастают разнообразные, в том числе, краснокнижные, растения: рододендрон, маралий и золотой корень, курильский чай, эдельвейс. Животный мир также своеобразен: баран-аргали, козерог, нередко можно встретить медведя, а если повезет, то и снежного барса - ирбиса. На озеро Маранкуль регулярно организуются экскурсии со всех уголков Хакасии, поэтому в его окрестностях порой бывает довольно много туристов. Путешественников привлекает суровая величественная красота горных вершин, окружающих этот холодный и загадочный водоем, особенно красивый ранним утром или в лучах заката. При посещении озера следует взять с собой теплые вещи: из-за высоты рельефа на берегах озера наблюдается большой перепад дневных и ночных температур.
Добраться до водоема на автомобиле нельзя. Следует по автомобильной дороге Абакан - Ак-Довурак доехать до расположенной в 6 километрах от озера туристической базы ""Снежный барс"". Дальнейший путь придется преодолеть либо пешком, либо на лошадях.",53.161311,90.563454,1,2,4.9,2023-08-11,2023-08-11
Памятник «Воин степи» в с. Аскиз,"В августе 2019 года в Аскизском районе Хакасии состоялось торжественное открытие памятника ""Воин степи"". Идея создания памятника принадлежит главе Аскизского района Абреку Челтыгмашеву. Это первый в республике памятник воина-всадника. Высота достопримечательности составляет около 6,5 метров в высоту, в руках бронзовый воин держит флаг, а сам облачен в древние хакасские доспехи. Располагается скульптура на мраморном постаменте.  Монумент расположен на въезде в село Аскиз со стороны Абакана.
Решение изготовить монумент Абрек Васильевич принял, увидев экспозицию воина на Поклонной горе в Хакасии. Именно тогда образ, который долгое время оставался в мыслях незавершенным, превратился в единую, целостную картинку.
Создатель «Воина степи» - скульптор-самоучка Василий Чертыков, на работу у него ушло четыре месяца. Финансово помогли местные предприниматели.
Достопримечательность на карте Республики Хакасия — Яндекс Карты",54.419296,90.228045,1,2,4.1,2023-08-11,2023-08-11
Озеро Шунет,"Озеро Шунет расположено на высоте 390 метров над уровнем моря в узкой горной впадине в 18 километрах на юго-восток от села Шира, в 8 километрах южнее озера Шира. Озеро достаточно небольшое и неглубокое, его длина не превышает 1 километра, а ширина - 600 метров. Глубина водоема около 3 метров.
Минерализация воды составляет около 15 гр/литр, хотя может меняться в зависимости от погодных условий. По составу вода озера сульфатно-хлоридная, натриево-магниевая, близкая ширинской. В Шунете имеются лечебные грязи в центре озера толщиной до одного метра. Они были обнаружены здесь в конце XIX века, и до 1920-х годов курорт Шира обеспечивался этими грязями. После истощения запасов грязи начали завозить на курорт Шира с озера Утичье, а о Шунете на некоторое время забыли, что позволило частично восстановить запасы лечебных грязей.
Хотя по берегам бьют холодные ключи, вода в озере очень теплая. Благодаря большой площади и небольшой глубине, озеро Шунет имеет достаточно удобные пляжи. Однако подъезды к озеру не такие удобные, как, например, к озеру Шира или Белё, поэтому отдыхающих здесь намного меньше.
По берегам озера, как во многих местах Ширинского района, встречаются холмы с менгирами и стелами, курганы и развалины крепостей древних времен - буквально музей под открытым небом. Любители же полазить по скалам могут доставить себе это удовольствие на горе, расположенной у озера.",53.262202,89.552009,1,2,4.9,2023-08-11,2023-08-11
Центр спортивной подготовки «Тёя»,"«Тёя» -- это комплекс трасс для беговых лыж общей длиной 33 км, соответствующий международным стандартам и имеющий сертификат FIS. Здесь тренируются юниорские, молодёжные и основной состав сборных России, сборная Хакасии по лыжным гонкам, сборная страны по лыжному ориентированию, проходят лыжные соревнования. При этом прокатиться на лыжах по трассам «Тёи» может любой желающий.Лыжная трасса расположена на высоте чуть более 1017-1200 метров над уровнем моря и имеет благоприятный для лыжников естественный рельеф. Действует пункт проката, где можно арендовать лыжи и лыжное снаряжение, а также санки-ватрушки и другие атрибуты зимнего отдыха.
Спортивная школа Тея на карте Республики Хакасия — Яндекс Карты",52.9228,91.46033,1,2,4.9,2023-08-11,2023-08-11
Экстрим-парк «Мраморка»,"Мраморка - это новая высота твоих приключений! Это место, где случается особенный отдых, где ты отключаешься от повседневности и наслаждаешься природой Хакасии. Это первый и единственный горный парк экстремальных развлечений в Хакасии.
Самая большая скала из мрамора России. Кемпинг, автостоянка, беседки, очаг. Аттракционы, виа ферраты, смотровые площадки на высоте. Скалолазание и альпинизм для взрослых и детей. Семейный отдых. Скалодром с маршрутами всех уровней. Индивидуальные и групповые занятия на скалах круглый год. Кемпинг - палаточный лагерь возле трассы.
Мраморка на карте Республики Хакасия — Яндекс Карты",52.994599,89.728943,3,2,4.4,2023-08-11,2023-08-11
Литературный музей им. М.Е. Кильчичакова,"Музей был открыт в 2013 году. Михаил Еремеевич Кильчичаков был живым классиком хакасской литературы и создал целый ряд высокохудожественных произведений. Он внес неоценимый вклад в создание массовой лирической песни, национальной драматургии. Его творческая деятельность способствовала расцвету молодой национальной литературы. Михаил Еремеевич награжден орденами «Знак Почета» (1969 г.) и «Дружбы народов» (1979 г.), в 1987 году ему было присвоено звание «Заслуженный деятель искусств РСФСР». Благодаря этому поэту и драматургу национальная литература вышла за пределы региона и получила высокую оценку известных писателей советской эпохи.",54.464688,89.676452,2,2,4,2023-08-11,2023-08-11
Кашкулакская пещера,"Кашкулакская пещера относится к одним из интереснейших природных памятников Республики Хакасия. Расположена эта живописная пещера в массиве горы Кошкулак, которая является частью Кузнецкого Алатау. Пещера относится к разряду карстовых. Глубина пещеры - 49 метров, длина - 820 метров, а вместимость - около 56 тысяч кубических метров. В пещере имеется три входа. Самый известный расположен на высоте более 870 метров на уровнем моря.
Кашкулакская пещера является одной из самых древних пещер России, её возраст - более миллиона лет! С давних времён и по наши дни у входа в пещеру собираются шаманы и исполняют свои религиозные танцы. Второе название пещеры - «Пещера чёрного дьявола». Впервые об этой пещере упоминается в работах М.А. Зайцева в 1904 году. В послевоенный период (а особенно в 50-70-ые годы). В годы Гражданской войны в пещере укрывался отряд белых партизан под руководством Соловьёва. Кашкулакская пещера являлась важным объектом исследования археологов и палеонтологов. За последнее десятилетие пещера стала очень популярным туристическим объектом. Некоторые туристы рассказывали, что в пещере у них были галлюцинации.
Многие учёные говорят о Кашкулакской пещере как о «месте особой силы» и «геодезическом феномене». С давних времён у местных жителей существуют легенды о том, что в этой пещере водятся привидения. Но исследовавшие недавно пещеру учёные установили, что страх у людей возникает из-за инфразвука частотой 6 герц, которые издаёт пещера из-за своей геомагнитной аномалии.
Пещера Кашлулакская на карте Республики Хакасия — Яндекс Карты",54.432898,89.457765,2,2,4.3,2023-08-11,2023-08-11
Пещера Ящик Пандоры,"Пещера Ящик Пандоры относится к знаменитым пещерам Ефремовского карстового участка. Длина пещеры составляет 11 километров, глубина 182 метра, а на на нижнем уровне есть карстовые подземные озера.  Для того чтобы подойти к пещере Ящик Пандоры, можно пройдя по дороге от поселка Малая Сыя до поселка Ефремкино, после этого необходимо будет подняться вверх на 200 метров по крутому и осыпающемуся каньону Каменный мешок.
На протяжении долгого времени пещера Ящик Пандоры, состоящая из нескольких мелких пещер, была известна благодаря находкам археологов, обнаруживших там следы древних людей. Самая большая пещера называется Широкая. Ее название говорит само за себя, потому что шириной эта пещера около 10 метров. Вход в пещеру устлан мелким щебнем и ведет вниз к широкому и высокому гроту, длина которого составляет 40 метров. Местными жителями было замечено, что в некоторых местах и завалах пещеры зимой появляются круги покрытые инеем. Как правило, это явление происходит из-за того, что под землей есть теплый воздух, который в некоторых местах пещеры может проникать наружу.
Для того, чтобы исследовать пещеру полностью, может уйти около двух суток. Без инструктора, соответствующей подготовки и снаряжения в эту пещеру лучше не входить и ограничиться осмотром привходового грота Широкий и прогулкой по окрестностям.
пещера Ящик Пандоры на карте Республики Хакасия — Яндекс Карты",52.94512,91.359449,1,2,4.8,2023-08-11,2023-08-11
Горнолыжный курорт Гладенькая,"Один из немногих горнолыжных курортов в России, позволяющий проводить соревнования по всему перечню дисциплин горнолыжного спорта и имеющий международные сертификаты FIS. Трассы на «Гладенькой» по техническим характеристикам успешно конкурируют с аналогичными курортами в России, позволяют проводить мероприятия самого высокого уровня. На горе «Гладенькая» неоднократно проводился Финал Чемпионата России по горнолыжному спорту. Уникальные характеристики горы, комфортная инфраструктура и уровень обслуживания, красота природы Саян делают отдых на горнолыжном комплексе «Гладенькая» незабываемым.
Трассы и склоны
На горе есть два склона: северный и южный. Южный склон отличается мягким снегом, который идеально подходит для фрирайда.  В сезоне 2021-2022 на южном склоне устанавливается подъемник. Сейчас Фрирайд на южном склоне Гладенькой сопряжен с Бэккантри -  после спуска надо идти пешком или обратно вверх или на следующий склон и скатываться по нему уже в поселок Черемушки...

",54.451694,89.458781,3,2,4.9,2023-08-11,2023-08-11
Тропа предков,"Тропа Предков» или «Тропа шамана» известна в Хакасии уже давно и входит в рейтинг самых посещаемых экскурсий. Древнее название этого уникального скального массива означает «Девять ртов». Если посмотреть с высокой точки берега, то можно увидеть 9 больших гротов, похожих на раскрытые рты.
Первый - грот Проскурякова, жилище людей эпохи неолита. Люди жили здесь на протяжении долгих тысячелетий и оставили множество следов своего быта, наскальные рисунки охрой возрастом 4,5 тысячи лет. От грота тропа выводит на гребень хребта, откуда открывается живописный вид на долину Белого Июса. Далее вверх по склону, мимо скал ""пальцев"", мимо остатков древней медеплавильной печи, через узкий скальный проход тропа поднимается и уходит все дальше, продвигаясь от пещеры к пещере. Главный ""рот"" хребта - названная его именем пещера Большая Тохзасская. Здесь обнаружены и сохранились следы рунической надписи, возрастом около 800 лет. Чуть дальше Тохзасской пещеры становится видно конец тропы - величественную арку ""Трехглазка"", но подъем к ней осложнен каменной осыпью и не рекомендуется.
",52.698757,90.284315,1,2,4.1,2023-08-11,2023-08-11
Музей-усадьба казачьего быта «Казачья изба»,"Музей этнографии и быта «Казачья усадьба» основан в 2011 году в реконструированной подлинной казачьей избе, построенной в 1896 году в центре села Арбаты. В целом, в селе сохранилось множество домов, построенных более ста лет назад. В XVIII веке казаки, пришедшие на территорию современного Таштыпского района с целью охраны границ, построили форпост, а в 1768 году основали село Арбаты.
В избе, площадью 90 кв.м. выстроены экспозиции традиционного бытового уклада казачества конца XIX века. Музей отражает традиции и самобытность казачества. Вместе с представителями Саянского окружного казачьего общества, которое входит в состав Енисейского казачьего войска, на территории Хакасии проводят мероприятия по патриотическому воспитанию школьников и популяризации заповедей и культурных традиций сибирского казачества.
 ",53.695447,91.41851,3,2,5,2023-08-11,2023-08-11
Музей природы заповедника «Хакасский»,"Музей природы Заповедника ""Хакасский"" открыт в 2009 году. Здесь посетителей знакомят с флорой и фауной заповедника «Хакасский», его водно-болотными угодьями, а также историей семьи староверцев Лыковых.
В музее действует пять тематических зон. Зона №1 оформлена большой картой республики с участками заповедника: она посвящена территориальной структуре заповедника. Участки заповедника обозначены на карте цветной подсветкой. Сверху карта дополнена плазменной панелью, на которой автоматически с подсветкой запускается видеоряд с ландшафтами участка.
Зона №2 рассказывает о степной части заповедника: на стендах расположена информация о флоре и фауне степных участков, встроенные в стену плазменные панели демонстрируют слайды, фрагменты фильмов и иную наглядную информацию. Здесь же располагаются деревянные скульптуры птиц и зверей: сокола-балобана, суслика, лебедя, барсука. В зоне №3 экскурсия продолжается рассказом о водно-болотных угодьях, перелетных птицах и сезонных миграциях. Далее посетители переходят в горно-таежную зону экспозиции, зону №4. В выставочной полосе вдоль информационной стены располагаются не только травянистые растения, но и кустарники. Кроме того, в этой выставочной полосе размещены деревянные фигуры кабарги и пары тетеревов.
Завершается экскурсия в зоне № 5 - «Угрозы заповеднику», то есть браконьеры, пожары, мусор. Инсталляция содержит не только информационные стенды, но и вписанные в общий дизайн реальные орудия браконьерского лова, муляжи оружия, а также манекен государственного инспектора. Здесь же располагается ростовая пластиковая фигура злобного браконьера, который пытается нарушить заповедную территорию.",52.617174,90.082746,2,2,5,2023-08-11,2023-08-11
Скала Чалпан,"Скала Чалпан в городе Абаза представляет собой отвесный каменный массив высотой 147 метров, напоминающий звериный клык. С вершины скалы открывается неописуемой красоты панорама города, кедрового бора и реки Абакан. В 1981 году здесь снимали фильм по мотивам повести А.Чмыхало  «Не ставьте Лешему капканы».
Существует несколько легенд происхождения названия скалы. Согласно одной из них, в старину под горой Чалпан на берегу Абакана жил великий шаман по имени Чалбарт. Великий шаман Чалбарт имел большую семью. У него было девять женатых сыновей. Однажды, когда наступил голодный год, Чалбарт принял решение спасти свой род. Он посадил многочисленную родню в юрте и начал камлание. Перед этим он предупредил: «Через дымовое отверстие юрты с неба посыпятся кедровые шишки, но до тех пор, пока не закончится мое камлание, никто не должен прикасаться к ним!»
",51.894456,89.809017,3,2,4.4,2023-08-11,2023-08-11
Река Большой Он,"В Таштыпском районе Республики Хакасия протекают 2 реки с необычными названиями - Большой Он и Она.
Река Большой Он невелика: ее длина около 52 км, а ширина не превышает 10 метров. Однако в силу того, что путь реки пролегает по крутым склонам Западного Саяна, течение очень быстрое и бурное, на ней много опасных перекатов, поэтому сплавляться по Ону не рекомендуется. Многие приезжают к реке ради рыбной ловли, здесь обитает хариус, ленок и таймень. На месте слияния рек Он и Она находится полузаброшенный поселок геологов Большой Он, в котором тем не менее есть кафе и турбаза. Вдоль реки проложена автодорога, соединяющая Хакасию и Тыву
Исток реки находится в 2 км от Саянского перевала, а на окраине одноименного поселка Большой Он впадает в реку Она.",53.141519,90.757161,3,2,4.4,2023-08-11,2023-08-11
Озеро Утиное,"Озеро находится на водоразделе рек Ута и Бея. Оно вытянуто в северо-восточном направлении. Северный и южный берега озера крутые, а западный и восточный — пологие, слегка заболоченные.
В августе 1998 года специалисты Томского института курортологии и физиотерапии исследовали озеро. Согласно результатам, глубина озера в точках забора проб не превышала 4,2 м, а максимальная мощность донных отложений достигает 0,4 м.
Вода в озере горько-солёная, прозрачная, щелочная, по основному ионно-солевому составу хлоридно-сульфатно-натриевая. В ней также обнаружен бром и ортоборная кислота. В 2016 году на побережье озера оборудован пляж.",53.219238,90.134886,1,2,4.7,2023-08-11,2023-08-11
Горная гряда Читы Хыс,"Горный хребет Читы Хыс расположен в районе деревни Казановка близ Хакасского национального музея-заповедника. Его название в переводе с хакасского означает «Семь дев». С этим горным хребтом связана любопытная старинная легенда. Она гласит, что давным-давно жили на этой территории семь дев, семь богатырш. Шестеро были очень сильными, а одна - робкая и гораздо слабее остальных. Удачливые в охоте, они возгордились и перестали приносить жертву хозяину места. Горный дух решил наказать их, наслав страшный голод. Сестры договорились съесть младшую сестру, но та, узнав об их планах, кинулась от отчаяния в воды реки. Дух воды был возмущен коварством сестер и отправил на землю ужасное наводнение, но сестры во что бы то ни стало решили спасти народ от гибели. Они встали на пути у прибывающих вод, взявшись за руки. Когда вода сошла, люди увидели, что преграждая путь волнам, сестры от напряжения окаменели, образовав горный хребет.
Невысокий горный хребет известен своим историко-культурным наследием. На склонах Читы Хыс найдены крупные скопления петроглифов разных эпох; посещение писаниц горного массива входит в программу ряда экскурсий, проводимых Хакасским национальным музеем-заповедником. О том, что на этой территории в древности жили люди, свидетельствуют могильники, расположенные на вершинах и склонах гор, а также величественный «город мертвых» - могильник «Читы Хыс». Более ста пятидесяти курганов, созданные около двух с половиной тысячи лет назад, представляют внушительное зрелище, особенно на закате. Камни курганов в лучах угасающего солнца стоят подобно армии молчаливых воинов.
 ",53.315223,90.782531,2,2,4.8,2023-08-11,2023-08-11
Гора Уйтаг,"Гора Уйтаг находится у трассы Абакан — Ак Довурак и имеет особый статус. Это естественная граница двух больших участков степи - Уйбатской и Сагайской.  В знак уважения к духам Уйтага в 1993 году у подножья горы была установлена священная коновязь — сарчин, которая используется путниками для проведения обряда «сек-сек». На коновязи можно завязать ленточку-чалама и загадать желание. Смысл обряда заключается в том, чтобы задобрить дорожных духов и получить разрешение на дальнейшее следование.
В 2014 году с целью сохранения уникальных объектов палеофлоры возрастом около 400 миллионов лет был образован памятник природы «Уйтаг». Он включает часть горного массива, для которого характерно вертикальное, а не горизонтальное расположение осадочных горных пород, которые и формируют сам горный массив. Благодаря этому жители и гости Республики Хакасия могут увидеть останки доисторических растений, которые произрастали здесь во времена, когда динозавры еще не появились в эволюционной истории Земли.
",52.644784,90.108987,1,2,4.5,2023-08-11,2023-08-11
Абазинский бор,"Может ли лес быть памятником? Однозначный ответ - да! Однако это не будет памятник в привычном смысле слова. В самом южном городе Республики Хакасия - Абазе расположена уникальная достопримечательность - памятник природы «Абазинский бор». Образован этот памятник по решению Хакасского облисполкома в 1988 году.
Произрастает бор в долине вдоль реки Абакан, общая его площадь составляет всего 9 га. Статус памятника и особо охраняемой природной территории был присвоен Абазинскому бору с целью сохранения уникального сосново-кедрового лесного массива в черте города. С одной стороны от Абазинского бора высится величественная скала Чалпан, с другой -- несет свои воды одна из крупнейших рек Хакасии Абакан. Каждый гость Абазы обязательно обращает внимание на крупный лесной массив, который находится прямо в черте города.
На данный момент в бору проложены множество троп и дорожек, доступ к природной достопримечательности доступен любому желающему. Жители города Абаза регулярно проводят экологические акции по очистке бора от бытового мусора.",52.264368,89.843647,1,2,4.5,2023-08-11,2023-08-11
Река Она,"Одна из крупных рек юга Хакасии длиною около 157 км носит название Она. Это правый приток реки Абакан. Исток реки находится на северном склоне хребта Сайлыг-Хем-Тайга (Западный Саян), а в 25 км от города Абаза Она впадает в реку Абакан.
В тех местах, где Она протекает вдоль трассы Абакан - Ак-Довурак, характер течения более спокойный, однако это впечатление обманчиво. На реке Она расположен популярный для отдыха поселок Кубайка. Начиная от поселка Большой Он и до Поселка Кубайка, река Она имеет спокойное ровное течение, организованы сплавы на катамаранах, прогулки на моторных лодках. Однако выше Б. Она и ниже Кубайки река Она коварна. Нижнеонинские пороги, а особенно порог Джарганская Яма достигают 4 категории сложности и опасны для неопытных сплавщиков.
Она, как говорят опытные водники - классическая ""четверка"". Заброска к началу сплава осуществляется по Курукульской пешеходной тропе, начало которой чуть ниже Саянского перевала. Сам сплав начинается в месте слияния р. Она и р. Каратош, от бывшей погранзаставы.",51.70766,89.887294,2,2,4.1,2023-08-11,2023-08-11
Заказник Позарым,"Государственный природный заказник федерального значения «Позарым» организован в декабре 2011 года распоряжением Председателя Правительства Российской Федерации Владимира Путина, как ""коридор"" между строго охраняемыми Алтайским заповедником, участком заповедника Хакасский ""Заимка Лыковых"" и заповедником ""Убсунурская котловина"".
Заказник предназначен для сохранения и восстановления популяций редких и находящихся под угрозой исчезновения объектов животного и растительного мира, занесенных в Красные книги Российской Федерации и Республики Хакасия. Это, например, сибирский горный козел, северный олень лесного подвида, горный баран-аргали, снежный барс, красный волк. Охраняет заказник и среды их обитания. Заказник расположен в Таштыпском районе республики Хакасия и занимает 253742,5 гектаров земли. На территории заказника находятся самые высокие точки Хакасии - Пик Кызласова высотой 2969,4 м и гора Каратош 2932 м; самый высокий водопад - Улугхольский, около 300 озер, самое живописное из которых озеро Позарым.
В 2019 году на популярной туристской Курукульской тропе открылся Визит-центр Позарым, в котором гости и туристы могут получить всю необходимую информацию о природном богатстве территории и правилах ее посещения. ",54.555442,89.216485,2,2,4.5,2023-08-11,2023-08-11
Дом Иваницкого,"В затерянной деревушке Чебаки находится хорошо сохранившийся трехэтажный особняк, резко контрастирующий с окружающими его постройками. Это усадьба золотопромышленника З.М. Цибульского, построенная во второй половине XIX века. Ему повезло разведать прииски, которые окупили все вложения и принесли хороший доход. В 1883 году прииски и саму усадьбу унаследовал его племянник, Константин Иванович Иваницкий. Он продолжил дело своего родственника, жил на широкую ногу и всегда имел удачу в делах. После революции Иваницкий покинул Россию, откупившись от большевиков, а разработанный им прииск «Богом дарованный» (ныне «Коммунар») работает и по сей день.
Сам особняк, созданный неизвестным архитектором более 150 лет назад практически посреди тайги, уникален для Хакасии. Построенный в стиле томского деревянного зодчества, он помнит громкие балы и жаркие споры золотопромышленников. В нем же находился революционный совет, администрация поселения, детская школа, туристический лагерь. В 70-е годы дом Иваницкого попал в эпизод фильма ""Конец императора тайги"" о революционных событиях. Сейчас дом Иваницкого пустует и находится на специальной охране в качестве памятника культурного наследия.
Осмотреть дом можно только снаружи, проход внутрь закрыт в связи с аварийным состоянием здания.  К слову сказать, вся внутренняя отделка здания с годами утратилась. ",54.291679,91.188257,2,2,4.5,2023-08-11,2023-08-11
