name,type,caption,latitude,longitude,kind,tags
Гора Чалпан на озере Беле,горы,эта территория является весенним пристанищем большого видового разнообразия перелетных птиц территории государственного природного заповедника горе установлены информационные стенды самом центре заповедника остатками оборонительной кладки построенной древними хакасами ограничен природной крутизной возвышается гора чалпан гора чалпан расположена берегу озера беле высота стен достигала 1 пологой стороны горы горе чалпан высота горы стороны подъем озеро беле склоне горы название переводится возраст крепости 2 тысяч лет самой вершине стены крепости стены сохранилось несколько участков настоящее время самым редким уникальным гостем признаны журавль-красавка хакасский скала 586 м све вокруг могильников писаница познакомиться гору 5 метров сегодня описывающие значимость участке фламинго,54.705029,90.152878,семейный одиночный компанейский,эта территория является весенним пристанищем большого видового разнообразия перелетных птиц территории государственного природного заповедника горе установлены информационные стенды самом центре заповедника остатками оборонительной кладки построенной древними хакасами ограничен природной крутизной возвышается гора чалпан гора чалпан расположена берегу озера беле высота стен достигала 1 пологой стороны горы горе чалпан высота горы стороны подъем озеро беле склоне горы название переводится возраст крепости 2 тысяч лет самой вершине стены крепости стены сохранилось несколько участков настоящее время самым редким уникальным гостем признаны журавль-красавка хакасский скала 586 м све вокруг могильников писаница познакомиться гору 5 метров сегодня описывающие значимость участке фламинго горы семейный одиночный компанейский
Све Чебаки,исторические места,анализ материалов раскопок позволяет интерпретировать берегу реки черный июс систему 45 практически аналогичных крепостей стене находились две сооруженные камня небольшие хозяйственные постройки прямоугольной формы размерами 4*5 стен имеет сильный наклон кладка стен сохранилась имеет следов использования огражденные каменными стенами служили военными сооружениями позволяющими организовать оборону набегов соседних племен мощных плит песчаника настоящего времени достаточно дает основания полагать внешняя стена появилась процессе расширения крепости рамках единого комплекса крепость чебаки расположена крепость чебаки входит являвшийся цитаделью крепости поселка чебаки горе све-тах 5 километрах северо-восточнее эпоху бронзы такие крепости-убежища отсекает подход соседней вершины западной части 4*6 метров фрагменты керамики другие предметы сооружения скорее жилые комплексы внутри цитадели цитаделью цитадели гора-крепость возведенных сооруженных вершине высоту 8 метра седловине вплотную загородки склады территория построена,54.629189,89.249944,одиночный компанейский,анализ материалов раскопок позволяет интерпретировать берегу реки черный июс систему 45 практически аналогичных крепостей стене находились две сооруженные камня небольшие хозяйственные постройки прямоугольной формы размерами 4*5 стен имеет сильный наклон кладка стен сохранилась имеет следов использования огражденные каменными стенами служили военными сооружениями позволяющими организовать оборону набегов соседних племен мощных плит песчаника настоящего времени достаточно дает основания полагать внешняя стена появилась процессе расширения крепости рамках единого комплекса крепость чебаки расположена крепость чебаки входит являвшийся цитаделью крепости поселка чебаки горе све-тах 5 километрах северо-восточнее эпоху бронзы такие крепости-убежища отсекает подход соседней вершины западной части 4*6 метров фрагменты керамики другие предметы сооружения скорее жилые комплексы внутри цитадели цитаделью цитадели гора-крепость возведенных сооруженных вершине высоту 8 метра седловине вплотную загородки склады территория построена исторические места одиночный компанейский
Туимское кольцо,исторические места,основании ориентации угловых камней туим-кольца это место поражает своей таинственностью диагонали которого также выложены камнями собой камнями меньшего размера обозначенная несколькими небольшими камнями обнаружены плиточные могилы женщины восток выложена символическая дорожка туимского кольца аналогична кромлехам такому выводу исследователи приходят энергетика старого места остались дороги установлены 4 больших камня строительстве дороги старая кладка археологический памятник туимский кромлех 8 километре автомобильной дороги соединяющей села шира угловые менгиры соединены ширинском краеведческом музее часто туим-кольцо сравнивают туимское кольцо скальном отроге невысоком пригорке крутым поворотом ii тысячелетие плоской площадке небольшом отдалении сторонам света образуя квадрат вокруг квадрата внутри сооружения предположительно жрицы двух детей исследованные археологами 1970-х годах женского погребения круговая ограда южной скандинавии северной германии английским стоунхенджем уступает последнему существует мнение культовым местом древняя обсерватории современный вариант подробно узнать истории памятника дороги кромлех туим-кольцо расположен туим практически середине слева менгира ориентированные памятников найденных франции хотя размерах использовалось ориентированых сожалению разрушена видеть дух,54.40697,89.935749,одиночный компанейский,основании ориентации угловых камней туим-кольца это место поражает своей таинственностью диагонали которого также выложены камнями собой камнями меньшего размера обозначенная несколькими небольшими камнями обнаружены плиточные могилы женщины восток выложена символическая дорожка туимского кольца аналогична кромлехам такому выводу исследователи приходят энергетика старого места остались дороги установлены 4 больших камня строительстве дороги старая кладка археологический памятник туимский кромлех 8 километре автомобильной дороги соединяющей села шира угловые менгиры соединены ширинском краеведческом музее часто туим-кольцо сравнивают туимское кольцо скальном отроге невысоком пригорке крутым поворотом ii тысячелетие плоской площадке небольшом отдалении сторонам света образуя квадрат вокруг квадрата внутри сооружения предположительно жрицы двух детей исследованные археологами 1970-х годах женского погребения круговая ограда южной скандинавии северной германии английским стоунхенджем уступает последнему существует мнение культовым местом древняя обсерватории современный вариант подробно узнать истории памятника дороги кромлех туим-кольцо расположен туим практически середине слева менгира ориентированные памятников найденных франции хотя размерах использовалось ориентированых сожалению разрушена видеть дух исторические места одиночный компанейский
Очурский Бор,леса,целью сохранения лесных ландшафтов естественного животный мир представлен следующими видами территории алтайского района республики хакасия красную книгу республики хакасия сопутствующих пород произрастают кедр памятник природы очурский бор искусственного происхождения имеющих природоохранное эколого-просветительское значение общая площадь сосна сибирская лиственница сибирская береза бородавчатая полевой лунь сибирский дрозд иглохвостый стриж степной жаворонок степной хорь косуля сибирская создан 1999 году рекреационное эстетическое 0 га внесенный перепел 1 304,53.152828,91.577171,семейный одиночный компанейский,целью сохранения лесных ландшафтов естественного животный мир представлен следующими видами территории алтайского района республики хакасия красную книгу республики хакасия сопутствующих пород произрастают кедр памятник природы очурский бор искусственного происхождения имеющих природоохранное эколого-просветительское значение общая площадь сосна сибирская лиственница сибирская береза бородавчатая полевой лунь сибирский дрозд иглохвостый стриж степной жаворонок степной хорь косуля сибирская создан 1999 году рекреационное эстетическое 0 га внесенный перепел 1 304 леса семейный одиночный компанейский
Братский мост,исторические места,соединяющий территории красноярского края излюбленное место паломничества новобрачных длина моста 352 метра строительство моста началось республики хакасия соответственно республики хакасия братский мост автомобильный мост районе абакана правый берег левый берег алексею лебедю две полосы каждом направлении реку енисей енисей минусинска 1999 году сдан эксплуатацию 2003 году которые имеет движения,53.63099,91.55332,одиночный компанейский,соединяющий территории красноярского края излюбленное место паломничества новобрачных длина моста 352 метра строительство моста началось республики хакасия соответственно республики хакасия братский мост автомобильный мост районе абакана правый берег левый берег алексею лебедю две полосы каждом направлении реку енисей енисей минусинска 1999 году сдан эксплуатацию 2003 году которые имеет движения исторические места одиночный компанейский
Озеро Улуг-Коль,озёра,северной части расположен треугольный полуостров засушливые годы оно существенно уменьшается влажные периоды озеро обычно полноводное питание озера улуг-коль осуществляется преимущественно северный берег существенно заболочен подземных стоков озерной долины средней сибири поселение кулика-шилоклювки перспективный список рамсарской конвенции озеро имеет овальную форму дно озера ровное озеро улуг-коль расположено максимальная глубина достигается счет атмосферных осадков значительном протяжении низкие зафиксировано самое крупное многие виды птиц пролета тысяч уток является частью участка состав водно-болотных угодий красную книгу рф красную книгу озеро входит состав заповедника города черногорска восточной половине составляет 2 метра время пролетов период весенних особенно куликов камызякская степь озеро улуг-коль входит 40 километрах запад размерами 4 5 километра длину 2 километров ширину вдающийся километр размерах отступает берегов берега топкие песчано-илистые пологое занесённого занесенные останавливаются весной осенью августе 8 тыс особей гусей лебедей внесённых хакасский озером,53.809285,90.671956,семейный одиночный компанейский,северной части расположен треугольный полуостров засушливые годы оно существенно уменьшается влажные периоды озеро обычно полноводное питание озера улуг-коль осуществляется преимущественно северный берег существенно заболочен подземных стоков озерной долины средней сибири поселение кулика-шилоклювки перспективный список рамсарской конвенции озеро имеет овальную форму дно озера ровное озеро улуг-коль расположено максимальная глубина достигается счет атмосферных осадков значительном протяжении низкие зафиксировано самое крупное многие виды птиц пролета тысяч уток является частью участка состав водно-болотных угодий красную книгу рф красную книгу озеро входит состав заповедника города черногорска восточной половине составляет 2 метра время пролетов период весенних особенно куликов камызякская степь озеро улуг-коль входит 40 километрах запад размерами 4 5 километра длину 2 километров ширину вдающийся километр размерах отступает берегов берега топкие песчано-илистые пологое занесённого занесенные останавливаются весной осенью августе 8 тыс особей гусей лебедей внесённых хакасский озером озёра семейный одиночный компанейский
Гора Амога,горы,поселка вершино-биджа республики хакасия это красивая гора высота горы 950 метров протяженности 3-4 километров гора амога находится амога имеет 12-15 км сторону усть-бюра правой стороне скалистыми образованиями уровнем моря многочисленными гротами дороге дороги вершины,53.94754,90.69325,семейный одиночный компанейский,поселка вершино-биджа республики хакасия это красивая гора высота горы 950 метров протяженности 3-4 километров гора амога находится амога имеет 12-15 км сторону усть-бюра правой стороне скалистыми образованиями уровнем моря многочисленными гротами дороге дороги вершины горы семейный одиночный компанейский
Грот Двуглазка,пещеры,служил местом летнего обитания человека гроте двуглазка шесть культурных слоев боградском районе республики хакасия придонной части узкого лога имеет относительно небольшие размеры самая древняя стоянка людей выявленные слои следующим образом грот двуглазка является одним найдены кости древних животных 50 километрах западнее города абакан гроте двуглазка археологами естественных световых отверстия поэтому достаточно сухой возраст которой оценивается 40-60 тысяч лет четвертый слои отнесены описаны каменные орудия треугольные наконечники стрел самых нижних слоях самых популярных мест грот двуглазка находится название грота связано средний каменный век села красный камень высоте около 50 метров грот расположен первый слои около 15 метров исследование грота век древнекаменный 7-10 метров около 47 километров села бородино деревни толчея потолочном перекрытии благодаря этому древнейших памятников территории сибири исследования выявили экспедиция з абрамовой систематизировала мустьерской эпохе поздние неандертальцы третий слой сделанные преимущественно плоские пластины посещаемым туристами всей россии далее 10 километров найдены находится 5 километрах 8 километрах северо-западу формой имеются напоминающих глаза длину ширину вход воды древности это хакасии проводилось 1979 годы шестой пятый позднепалеолитический второй мезолитические базальта скребла отщепы числе лошади носорога кулана волка льва доехать абакана 1974,54.072657,91.069455,семейный одиночный компанейский,служил местом летнего обитания человека гроте двуглазка шесть культурных слоев боградском районе республики хакасия придонной части узкого лога имеет относительно небольшие размеры самая древняя стоянка людей выявленные слои следующим образом грот двуглазка является одним найдены кости древних животных 50 километрах западнее города абакан гроте двуглазка археологами естественных световых отверстия поэтому достаточно сухой возраст которой оценивается 40-60 тысяч лет четвертый слои отнесены описаны каменные орудия треугольные наконечники стрел самых нижних слоях самых популярных мест грот двуглазка находится название грота связано средний каменный век села красный камень высоте около 50 метров грот расположен первый слои около 15 метров исследование грота век древнекаменный 7-10 метров около 47 километров села бородино деревни толчея потолочном перекрытии благодаря этому древнейших памятников территории сибири исследования выявили экспедиция з абрамовой систематизировала мустьерской эпохе поздние неандертальцы третий слой сделанные преимущественно плоские пластины посещаемым туристами всей россии далее 10 километров найдены находится 5 километрах 8 километрах северо-западу формой имеются напоминающих глаза длину ширину вход воды древности это хакасии проводилось 1979 годы шестой пятый позднепалеолитический второй мезолитические базальта скребла отщепы числе лошади носорога кулана волка льва доехать абакана 1974 пещеры семейный одиночный компанейский
Озеро Дикое,озёра,помощью воды лечат многие заболевания способны правильно рассчитать свои силы летнее время года водоем прогревается озеро дикое окружено смешанными лесами результате разлома горных пород состав которых входят березы целебным свойствам оно приравнивается радоновые примеси действуют расслабляюще рекомендуется заплывать слишком далеко длину водоем растянулся практически пополняет свои воды озеро дикое находится средний показатель ширины глубина озера небольшая высоты птичьего полета происхождение озера тектоническое счет подземных источников озеро дикое боградском районе овальной формы воронка произошла пятигорским источникам предварительные заключения грязи также комфортной температуры полезно знать превышает 450 м водоем озеро 900 м 3 км² километр доходит 7 метров посмотреть акваторию видно появился родники осадков сосны лиственницы использоваться воде связанные сердцем суставами костями мышцами кожей конца изучено применять медицине поэтому пляжах отдыхающих однако приезжает места первый заход находиться 10 минут,54.113338,90.363834,семейный одиночный компанейский,помощью воды лечат многие заболевания способны правильно рассчитать свои силы летнее время года водоем прогревается озеро дикое окружено смешанными лесами результате разлома горных пород состав которых входят березы целебным свойствам оно приравнивается радоновые примеси действуют расслабляюще рекомендуется заплывать слишком далеко длину водоем растянулся практически пополняет свои воды озеро дикое находится средний показатель ширины глубина озера небольшая высоты птичьего полета происхождение озера тектоническое счет подземных источников озеро дикое боградском районе овальной формы воронка произошла пятигорским источникам предварительные заключения грязи также комфортной температуры полезно знать превышает 450 м водоем озеро 900 м 3 км² километр доходит 7 метров посмотреть акваторию видно появился родники осадков сосны лиственницы использоваться воде связанные сердцем суставами костями мышцами кожей конца изучено применять медицине поэтому пляжах отдыхающих однако приезжает места первый заход находиться 10 минут озёра семейный одиночный компанейский
Озеро Черное,озёра,дне черного наделены лечебными свойствами каменистая степь значительно нагревается многих южно-хакасских минеральных водоемов отложениях характерны органические остатки подножия опоясаны десятком родников максимальная протяженность черного равна 2 донные отложения занимают практически период засухи черное мелеет время степень минерализации снижается период летней засухи подножия невысоких гор озеро черное располагается пределах ширинского района поселку черное озеро около 30 километров пути подбирающихся довольно близко западе долина прижимается побережье скорее топкое летом осадки редки исключением является место находятся бьющая скважина кальция ничтожно мало протяжении всей площади визуально прекрасно заметно наибольшая мощность приходится составе присутствуют йод долина озера раскинулась дно озера пологое обычное время вода минерализации невысока зеркалом черного площадь черного озеро шира глубины озера северо-востоке хакасии непосредственной близи побережью водоема койбальской степи лишенной деревьев форма водоема укрытое песком местами глинистое целом спокойное юге заболочено миниатюрных настолько вода пригодна самом черном химических соединений центр водоема песчаными частичками местами ила согласно исследованиям 2 сотни метров дне черного степень отложения вода 5 метров расстояние курорта возвышающихся бугристой каменистой песчаной растительность редка невзрачна овальная 5 километра глубина илом вязкое засолено сухая горы пересыхают соленая удаленное 2 метра северу родник активны круглогодично питья слабощелочная натриевая хлоридно-сульфатная содержание этим отличается солей предостаточно 8 граммов литр показатель стабилен это достигает 3 смешана глиной сульфаты гидрокарбонаты,54.647823,89.438174,семейный одиночный компанейский,дне черного наделены лечебными свойствами каменистая степь значительно нагревается многих южно-хакасских минеральных водоемов отложениях характерны органические остатки подножия опоясаны десятком родников максимальная протяженность черного равна 2 донные отложения занимают практически период засухи черное мелеет время степень минерализации снижается период летней засухи подножия невысоких гор озеро черное располагается пределах ширинского района поселку черное озеро около 30 километров пути подбирающихся довольно близко западе долина прижимается побережье скорее топкое летом осадки редки исключением является место находятся бьющая скважина кальция ничтожно мало протяжении всей площади визуально прекрасно заметно наибольшая мощность приходится составе присутствуют йод долина озера раскинулась дно озера пологое обычное время вода минерализации невысока зеркалом черного площадь черного озеро шира глубины озера северо-востоке хакасии непосредственной близи побережью водоема койбальской степи лишенной деревьев форма водоема укрытое песком местами глинистое целом спокойное юге заболочено миниатюрных настолько вода пригодна самом черном химических соединений центр водоема песчаными частичками местами ила согласно исследованиям 2 сотни метров дне черного степень отложения вода 5 метров расстояние курорта возвышающихся бугристой каменистой песчаной растительность редка невзрачна овальная 5 километра глубина илом вязкое засолено сухая горы пересыхают соленая удаленное 2 метра северу родник активны круглогодично питья слабощелочная натриевая хлоридно-сульфатная содержание этим отличается солей предостаточно 8 граммов литр показатель стабилен это достигает 3 смешана глиной сульфаты гидрокарбонаты озёра семейный одиночный компанейский
Гора Сарахтаг,горы,обильно поливал окрестности кислотными дождями миллионы лет своеобразная пробка выжималась сарахтаг признан уникальным природным памятником границам гигантского кратера сарахтага просто цепочка небольших гор небольшие реки большой сыр собой потоки застывшей лавы извергал потоки лавы средний сыр протекают является потухшим вулканом трех побочных вулканов пострадавшее жерло вулкана подножия горы сарахтаг гора сарахтаг представляющим интерес тучи пепла гораздо позже магма нашла пару мест взрывных извержений экструзивный купол края которого несколько деревень верхняя база казановка расположены территории хакасии недр земли сарахтаг земли высота 800 м науки туристов находившихся склонах крупного древнего скорее извержения выбраться залечить образовав воспринимаются бирикчуль майский мало задумывается,53.333664,90.440795,семейный одиночный компанейский,обильно поливал окрестности кислотными дождями миллионы лет своеобразная пробка выжималась сарахтаг признан уникальным природным памятником границам гигантского кратера сарахтага просто цепочка небольших гор небольшие реки большой сыр собой потоки застывшей лавы извергал потоки лавы средний сыр протекают является потухшим вулканом трех побочных вулканов пострадавшее жерло вулкана подножия горы сарахтаг гора сарахтаг представляющим интерес тучи пепла гораздо позже магма нашла пару мест взрывных извержений экструзивный купол края которого несколько деревень верхняя база казановка расположены территории хакасии недр земли сарахтаг земли высота 800 м науки туристов находившихся склонах крупного древнего скорее извержения выбраться залечить образовав воспринимаются бирикчуль майский мало задумывается горы семейный одиночный компанейский
Озеро Маранкуль,озёра,которые имеют неповторимую мозаичную текстуру усиливающие суровую красоту здешних мест озеро окружают величественные горные вершины дно озера представлено обломками скал водах озера водится деликатесная рыба центральной части покрыто минеральными илами озеро маранкуль регулярно организуются экскурсии озеро имеет яйцевидную форму ширина озера различаются незначительно окрестностях озера произрастают разнообразные таштыпском районе республики хакасия животный мир также своеобразен окрестностях порой бывает довольно особенно красивый ранним утром посещении озера следует взять озеро маранкуль находится озера туристической базы высокогорье западного саяна редкими песчаными прослойками озере кристально прозрачная самые жаркие годы собой теплые вещи из-за высоты рельефа автомобильной дороге абакан абсолютной высоте 1600 метров северной части оно расположено уровнем моря вершине хребта отделяющего хакасию превышает 16 градусов каменными россыпями преобладают кедры золотой корень курильский чай встретить медведя снежного барса уголков хакасии загадочный водоем лучах заката ночных температур ак-довурак доехать снежный барс следует 900 метров тувы заострением длина составляют 1100 щебнем лишь вода холодная температура гольцами пихты хариус пелядь числе краснокнижные растения рододендрон маралий эдельвейс баран-аргали козерог нередко повезет ирбиса поэтому туристов окружающих холодный добраться водоема автомобиле расположенной 6 километрах либо лошадях,51.85099,89.863697,семейный одиночный компанейский,которые имеют неповторимую мозаичную текстуру усиливающие суровую красоту здешних мест озеро окружают величественные горные вершины дно озера представлено обломками скал водах озера водится деликатесная рыба центральной части покрыто минеральными илами озеро маранкуль регулярно организуются экскурсии озеро имеет яйцевидную форму ширина озера различаются незначительно окрестностях озера произрастают разнообразные таштыпском районе республики хакасия животный мир также своеобразен окрестностях порой бывает довольно особенно красивый ранним утром посещении озера следует взять озеро маранкуль находится озера туристической базы высокогорье западного саяна редкими песчаными прослойками озере кристально прозрачная самые жаркие годы собой теплые вещи из-за высоты рельефа автомобильной дороге абакан абсолютной высоте 1600 метров северной части оно расположено уровнем моря вершине хребта отделяющего хакасию превышает 16 градусов каменными россыпями преобладают кедры золотой корень курильский чай встретить медведя снежного барса уголков хакасии загадочный водоем лучах заката ночных температур ак-довурак доехать снежный барс следует 900 метров тувы заострением длина составляют 1100 щебнем лишь вода холодная температура гольцами пихты хариус пелядь числе краснокнижные растения рододендрон маралий эдельвейс баран-аргали козерог нередко повезет ирбиса поэтому туристов окружающих холодный добраться водоема автомобиле расположенной 6 километрах либо лошадях озёра семейный одиночный компанейский
